App-cpanminus	1.7046	App::cpanminus	1.7046
App-FatPacker	0.010008	App::FatPacker	0.010008
App-FatPacker	0.010008	App::FatPacker::Trace	undef
App-Rad-Plugin-MoreHelp	0.0001	App::Rad::Plugin::MoreHelp	0.0001
Benchmark-Timer	0.7112	Benchmark::Timer	0.7112
BSD-Resource	1.2911	BSD::Resource	1.2911
Catalyst-Engine-Embeddable	0.000003	Catalyst::Engine::Embeddable	0.000003
Catalyst-Manual	5.9011	Catalyst::Manual	5.9011
Class-Accessor-Grouped	0.10014	Class::Accessor::Grouped	0.10014
Class-C3-Componentised	1.001002	Class::C3::Componentised	1.001002
Class-C3-Componentised	1.001002	Class::C3::Componentised::ApplyHooks	undef
Class-Discover	1.000003	Class::Discover	1.000003
Class-Inner	0.200001	Class::Inner	0.200001
Config-Identity	0.0019	Config::Identity	0.0019
Config-Identity	0.0019	Config::Identity::GitHub	0.0019
Config-Identity	0.0019	Config::Identity::PAUSE	0.0019
Config-IniFiles	3.000003	Config::IniFiles	3.000003
Config-MVP	2.200013	Config::MVP	2.200013
Config-MVP	2.200013	Config::MVP::Assembler	2.200013
Config-MVP	2.200013	Config::MVP::Assembler::WithBundles	2.200013
Config-MVP	2.200013	Config::MVP::Error	2.200013
Config-MVP	2.200013	Config::MVP::Reader	2.200013
Config-MVP	2.200013	Config::MVP::Reader::Findable	2.200013
Config-MVP	2.200013	Config::MVP::Reader::Findable::ByExtension	2.200013
Config-MVP	2.200013	Config::MVP::Reader::Finder	2.200013
Config-MVP	2.200013	Config::MVP::Reader::Hash	2.200013
Config-MVP	2.200013	Config::MVP::Section	2.200013
Config-MVP	2.200013	Config::MVP::Sequence	2.200013
Config-MVP-Reader-INI	2.101465	Config::MVP::Reader::INI	2.101465
Contextual-Return	0.004014	Contextual::Return	0.004014
Contextual-Return	0.004014	Contextual::Return::Lvalue	0.004014
Contextual-Return	0.004014	Contextual::Return::Value	0.004014
CPAN-Changes	0.400002	CPAN::Changes	0.400002
CPAN-Changes	0.400002	CPAN::Changes::Group	undef
CPAN-Changes	0.400002	CPAN::Changes::Release	undef
CPAN-Changes	0.400002	Test::CPAN::Changes	0.400002
CPAN-Meta-Requirements	2.143000	CPAN::Meta::Requirements	2.143000
CPAN-Meta-Requirements	2.143000	CPAN::Meta::Requirements::Range	2.143000
CPAN-Mini	1.111016	CPAN::Mini	1.111016
CPAN-Mini	1.111016	CPAN::Mini::App	1.111016
CPAN-Uploader	0.103018	CPAN::Uploader	0.103018
Crypt-DH-GMP	0.00012	Crypt::DH::GMP	0.00012
Crypt-DH-GMP	0.00012	Crypt::DH::GMP::Compat	undef
Crypt-PBKDF2	0.161520	Crypt::PBKDF2	0.161520
Crypt-PBKDF2	0.161520	Crypt::PBKDF2::Hash	0.161520
Crypt-PBKDF2	0.161520	Crypt::PBKDF2::Hash::DigestHMAC	0.161520
Crypt-PBKDF2	0.161520	Crypt::PBKDF2::Hash::HMACSHA1	0.161520
Crypt-PBKDF2	0.161520	Crypt::PBKDF2::Hash::HMACSHA2	0.161520
Crypt-PBKDF2	0.161520	Crypt::PBKDF2::Hash::HMACSHA3	0.161520
curry	2.000001	curry	2.000001
curry	2.000001	curry::weak	undef
Dancer2-Plugin-DBIC	0.0100	Dancer2::Plugin::DBIC	0.0100
Data-Hexdumper	3.0001	Data::Hexdumper	3.0001
Data-Perl	0.001005	Data::Perl::Collection::Array::AutoFlatten	0.001005
Data-Perl	0.001005	Data::Perl::Collection::Hash::AutoFlatten	0.001005
Data-Perl	0.002011	Data::Perl	0.002011
Data-Perl	0.002011	Data::Perl::Bool	0.002011
Data-Perl	0.002011	Data::Perl::Code	0.002011
Data-Perl	0.002011	Data::Perl::Collection::Array	0.002011
Data-Perl	0.002011	Data::Perl::Collection::Hash	0.002011
Data-Perl	0.002011	Data::Perl::Counter	0.002011
Data-Perl	0.002011	Data::Perl::Number	0.002011
Data-Perl	0.002011	Data::Perl::Role::Bool	0.002011
Data-Perl	0.002011	Data::Perl::Role::Code	0.002011
Data-Perl	0.002011	Data::Perl::Role::Collection::Array	0.002011
Data-Perl	0.002011	Data::Perl::Role::Collection::Hash	0.002011
Data-Perl	0.002011	Data::Perl::Role::Counter	0.002011
Data-Perl	0.002011	Data::Perl::Role::Number	0.002011
Data-Perl	0.002011	Data::Perl::Role::String	0.002011
Data-Perl	0.002011	Data::Perl::String	0.002011
Data-Printer	1.001000	Data::Printer	1.001000
Data-Printer	1.001000	Data::Printer::Common	undef
Data-Printer	1.001000	Data::Printer::Config	undef
Data-Printer	1.001000	Data::Printer::Filter::ARRAY	undef
Data-Printer	1.001000	Data::Printer::Filter::CODE	undef
Data-Printer	1.001000	Data::Printer::Filter::ContentType	undef
Data-Printer	1.001000	Data::Printer::Filter::DateTime	undef
Data-Printer	1.001000	Data::Printer::Filter::DB	undef
Data-Printer	1.001000	Data::Printer::Filter::Digest	undef
Data-Printer	1.001000	Data::Printer::Filter::FORMAT	undef
Data-Printer	1.001000	Data::Printer::Filter::GenericClass	undef
Data-Printer	1.001000	Data::Printer::Filter::GLOB	undef
Data-Printer	1.001000	Data::Printer::Filter::HASH	undef
Data-Printer	1.001000	Data::Printer::Filter::REF	undef
Data-Printer	1.001000	Data::Printer::Filter::Regexp	undef
Data-Printer	1.001000	Data::Printer::Filter::SCALAR	undef
Data-Printer	1.001000	Data::Printer::Filter	undef
Data-Printer	1.001000	Data::Printer::Filter::VSTRING	undef
Data-Printer	1.001000	Data::Printer::Filter::Web	undef
Data-Printer	1.001000	Data::Printer::Object	undef
Data-Printer	1.001000	Data::Printer::Profile::Dumper	undef
Data-Printer	1.001000	Data::Printer::Profile::JSON	undef
Data-Printer	1.001000	Data::Printer::Profile	undef
Data-Printer	1.001000	Data::Printer::Theme::Classic	undef
Data-Printer	1.001000	Data::Printer::Theme::Material	undef
Data-Printer	1.001000	Data::Printer::Theme::Monokai	undef
Data-Printer	1.001000	Data::Printer::Theme::Solarized	undef
Data-Printer	1.001000	Data::Printer::Theme	undef
Data-Printer	1.001000	DDP	1.001000
Data-Section	0.200008	Data::Section	0.200008
DateTime-Calendar-Mayan	0.0601	DateTime::Calendar::Mayan	0.0601
DateTime-Format-MySQL	0.0701	DateTime::Format::MySQL	0.0701
DateTime-Format-Pg	0.16014	DateTime::Format::Pg	0.16014
DateTime-Locale	1.390000	DateTime::Locale	1.390000
DateTime-Locale	1.390000	DateTime::Locale::Base	1.390000
DateTime-Locale	1.390000	DateTime::Locale::Catalog	1.390000
DateTime-Locale	1.390000	DateTime::Locale::Data	1.390000
DateTime-Locale	1.390000	DateTime::Locale::FromData	1.390000
DateTime-Locale	1.390000	DateTime::Locale::Util	1.390000
DBICx-Sugar	0.0200	DBICx::Sugar	0.0200
DBIx-Class	0.03002	DBIx::Class::ObjectCache	undef
DBIx-Class	0.082843	DBIx::Class	0.082843
DBIx-Class	0.082843	DBIx::Class::AccessorGroup	undef
DBIx-Class	0.082843	DBIx::Class::Admin	undef
DBIx-Class	0.082843	DBIx::Class::CDBICompat	undef
DBIx-Class	0.082843	DBIx::Class::Core	undef
DBIx-Class	0.082843	DBIx::Class::Cursor	undef
DBIx-Class	0.082843	DBIx::Class::DB	undef
DBIx-Class	0.082843	DBIx::Class::Exception	undef
DBIx-Class	0.082843	DBIx::Class::FilterColumn	undef
DBIx-Class	0.082843	DBIx::Class::InflateColumn::DateTime	undef
DBIx-Class	0.082843	DBIx::Class::InflateColumn::File	undef
